Chapter,category,English,French,Spanish,Chinese,definition,example,Wikipedia link
20 - 21 Graph Theory,graph theory,Parallel edges,Arêtes parallèles,Aristas paralelas,平行边 (Píngxíng biān),Multiple edges that connect the same two vertices.,Two edges in a graph that connect the same two vertices,https://en.wikipedia.org/wiki/Multiple_edges
20 - 21 Graph Theory,graph theory,Path,Chemin,Camino,路径 (Lùjìng),A sequence of vertices where each adjacent pair is connected by an edge.,A path from A to C through B in a graph,https://en.wikipedia.org/wiki/Path_(graph_theory)
20 - 21 Graph Theory,graph theory,Planar Graph,Graphe planaire,Grafo planar,平面图 (Píngmiàn tú),A graph that can be embedded in the plane such that no edges intersect.,A graph that can be drawn on a plane without any edges crossing,https://en.wikipedia.org/wiki/Planar_graph
20 - 21 Graph Theory,graph theory,Prim's Algorithm,Algorithme de Prim,Algoritmo de Prim,普里姆算法 (Pǔ lǐ mǔ suànfǎ),An algorithm to find the minimum spanning tree of a connected graph.,Another algorithm to find the minimum spanning tree of a graph,https://en.wikipedia.org/wiki/Prim%27s_algorithm
20 - 21 Graph Theory,graph theory,Regular Graph,Graphe régulier,Grafo regular,正则图 (Zhèngzé tú),A graph where each vertex has the same degree.,A graph where every vertex has a degree of 2,https://en.wikipedia.org/wiki/Regular_graph
20 - 21 Graph Theory,graph theory,Self loops,Boucles simples,Bucles simples,自循环 (Zì xúnhuán),An edge that connects a vertex to itself.,An edge in a graph that connects a vertex to itself,https://en.wikipedia.org/wiki/Loop_(graph_theory)
20 - 21 Graph Theory,graph theory,Simple Path,Chemin simple,Camino simple,简单路径 (Jiǎndān lùjìng),A path with no repeated vertices.,A path from A to C without revisiting any vertex,https://en.wikipedia.org/wiki/Path_(graph_theory)#simple_path
20 - 21 Graph Theory,graph theory,Spanning Tree,Arbre couvrant,Árbol generador,生成树 (Shēngchéng shù),A tree that connects all the vertices of a graph.,A tree that connects all vertices of a graph,https://en.wikipedia.org/wiki/Spanning_tree
20 - 21 Graph Theory,graph theory,Stable Set,Ensemble stable,Conjunto estable,稳定集 (Wěndìng jí),"A set of vertices in a graph, no two of which are adjacent.",A subset of a graph where no two vertices are connected,https://en.wikipedia.org/wiki/Independent_set_(graph_theory)
20 - 21 Graph Theory,graph theory,Subgraph,Sous-graphe,Subgrafo,子图 (Zǐ tú),A graph formed from a subset of the vertices and edges of another graph.,"Taking vertices {A, B} and the edge connecting them from a larger graph",https://en.wikipedia.org/wiki/Glossary_of_graph_theory#subgraph
20 - 21 Graph Theory,graph theory,Topological Sorting,Tri topologique,Ordenación topológica,拓扑排序 (Tuòpū páixù),"A linear ordering of the vertices of a graph such that for every directed edge (u, v), vertex u comes before vertex v in the ordering.","Ordering the vertices of a graph such that for every directed edge (u, v), u comes before v",https://en.wikipedia.org/wiki/Topological_sorting
20 - 21 Graph Theory,graph theory,Tree,Arbre,Árbol,树 (Shù),A connected graph with no cycles.,A graph with no cycles and only one path between any two vertices,https://en.wikipedia.org/wiki/Tree_(graph_theory)
20 - 21 Graph Theory,graph theory,Undirected Graph,Graphe non orienté,Grafo no dirigido,无向图 (Wúxiàng tú),A graph where edges have no direction.,A graph where each edge simply connects two vertices,https://en.wikipedia.org/wiki/Graph_(discrete_mathematics)#Undirected_graph
20 - 21 Graph Theory,graph theory,Vertex,Sommet,Vértice,顶点 (Dǐngdiǎn),A point in a graph.,A point in a graph,https://en.wikipedia.org/wiki/Vertex_(graph_theory)
20 - 21 Graph Theory,graph theory,Vertex Degree (In-degree and Out-degree for directed graphs),Degré de sommet (Degré entrant et sortant pour les graphes dirigés),Grado de vértice (Grado de entrada y salida para grafos dirigidos),顶点度 (有向图的入度和出度) (Dǐngdiǎn dù (yǒuxiàng tú de rù dù hé chū dù)),"The number of edges incident to a vertex. In directed graphs, in-degree is the number of incoming edges and out-degree is the number of outgoing edges.","For a directed graph, the in-degree of a vertex is the number of edges coming into it, and the out-degree is the number of edges going out of it",https://en.wikipedia.org/wiki/Degree_(graph_theory)
20 - 21 Graph Theory,graph theory,Walks,Marches,Paseos,游行 (Yóuxíng),A sequence of vertices and edges in a graph where each edge's end vertex is the next edge's start vertex.,Moving from vertex A to B to C in a graph,https://en.wikipedia.org/wiki/Path_(graph_theory)
20 - 21 Graph Theory,graph theory,Weighted Graph,Graphe pondéré,Grafo ponderado,加权图 (Jiāquán tú),A graph where each edge has a weight or cost associated with it.,"A graph where each edge has a value (e.g., distance between two cities)",https://en.wikipedia.org/wiki/Glossary_of_graph_theory#weighted_graph
13 Basics of Proofs,proof techniques,Base Case (for induction),Cas de base (pour l'induction),Caso base (para inducción),基础情况 (对于归纳法) (Jīchǔ qíngkuàng (duìyú guīnà fǎ)),"The starting point of a mathematical induction, proving the statement for the first value.","For the statement P(n) = ""1 + 2 + ... + n = n(n+1)/2"", the base case is P(1), which is 1 = 1(1+1)/2",https://en.wikipedia.org/wiki/Mathematical_induction#base_case
13 Basics of Proofs,proof techniques,Contrapositive,Contraposée,Contrapositiva,逆否命题 (Nì fǒu mìngtí),The statement derived from negating both the hypothesis and conclusion of a conditional statement and swapping them.,"If a number is not odd, then it's even.",https://en.wikipedia.org/wiki/Contraposition
13 Basics of Proofs,proof techniques,Direct Proof,Preuve directe,Prueba directa,直接证明 (Zhíjiē zhèngmíng),A proof that demonstrates the truth of a statement by a straight chain of logical deductions.,To prove that the sum of two even numbers is even.,https://en.wikipedia.org/wiki/Direct_proof
13 Basics of Proofs,proof techniques,Existential Quantification,Quantification existentielle,Cuantificación existencial,存在量化 (Cúnzài liàng huà),The claim that there exists at least one element in a domain for which a predicate is true.,There exists an x in the set of integers such that x^2 = 4 (x can be 2 or -2),https://en.wikipedia.org/wiki/Existential_quantification
13 Basics of Proofs,proof techniques,Inductive Step (for induction),Étape inductive (pour l'induction),Paso inductivo (para inducción),归纳步骤 (对于归纳法) (Guīnà bùzhòu (duìyú guīnà fǎ)),The step in mathematical induction where the statement is proven for the general case.,"For the statement P(n) = ""1 + 2 + ... + n = n(n+1)/2"", the inductive step is proving that if P(k) is true, then P(k+1) is also true",https://en.wikipedia.org/wiki/Mathematical_induction#induction_step
13 Basics of Proofs,proof techniques,Proof by Cases,Preuve par cas,Prueba por casos,分情况证明 (Fēn qíngkuàng zhèngmíng),A proof that divides the problem into several cases and proves each one individually.,"Proving that for any integer n, n^3-n is divisible by 3.",https://en.wikipedia.org/wiki/Proof_by_exhaustion
13 Basics of Proofs,proof techniques,Proof by Contradiction,Preuve par l'absurde,Prueba por contradicción,反证法 (Fǎn zhèng fǎ),A proof that establishes the truth of a statement by assuming its negation is true and then showing that this leads to a contradiction.,Proving that the square root of 2 is irrational by assuming it's rational.,https://en.wikipedia.org/wiki/Proof_by_contradiction
16 Induction 2 (Strong Induction),proof techniques,Strong Induction,Induction forte,Inducción fuerte,强归纳法 (Qiáng guīnà fǎ),A proof technique that assumes the statement holds for all previous cases to prove it for the next case.,Proving that every amount of postage of 12 cents or more can be made using just 4-cent and 5-cent stamps,https://en.wikipedia.org/wiki/Mathematical_induction#Complete_(strong)_induction
13 Basics of Proofs,proof techniques,Universal Quantification,Quantification universelle,Cuantificación universal,全称量化 (Quánchēng liàng huà),The claim that a predicate is true for all elements in a domain.,"For all x in the set of real numbers, x + 0 = x",https://en.wikipedia.org/wiki/Universal_quantification
15 Induction1,proof techniques,Weak Induction,Induction faible,Inducción débil,弱归纳法 (Ruò guīnà fǎ),A proof technique that assumes the statement holds for some arbitrary case and proves it for the next case.,"Proving that for all natural numbers n, 1 + 2 + ... + n = n(n+1)/2",https://en.wikipedia.org/wiki/Mathematical_induction
01 Sets,set theory,Cardinality,Cardinalité,Cardinalidad,基数 (Jīshù),The number of elements in a set.,"The set {apple, banana, cherry} has a cardinality of 3.",https://en.wikipedia.org/wiki/Cardinality
02 Sets Operations,set theory,Cartesian Product,Produit cartésien,Producto cartesiano,笛卡尔积 (Dí kǎ'ěr jī),The set of all ordered pairs of elements from two sets.,"The Cartesian product of {1, 2} and {A, B} is {(1, A), (1, B), (2, A), (2, B)}",https://en.wikipedia.org/wiki/Cartesian_product
02 Sets Operations,set theory,Complement,Complément,Complemento,补集 (Bǔ jí),The set containing elements that are not in a given set.,"The complement of {apple, banana} in {apple, banana, cherry, date} is {cherry, date}",https://en.wikipedia.org/wiki/Complement_(set_theory)
01 Sets,set theory,Countably Infinite,Dénombrablement infini,Infinito contable,可数无限 (Kě shǔ wúxiàn),An infinite set that can be put into one-to-one correspondence with the set of natural numbers.,The set of all integers,https://en.wikipedia.org/wiki/Countable_set
02 Sets Operations,set theory,Difference,Difference,Diferencia,差集 (Chājí),The set containing elements that are in one set but not in another.,"The difference of {apple, banana, cherry} and {banana, cherry} is {apple}",https://en.wikipedia.org/wiki/Difference_set
01 Sets,set theory,Element,Élément,Elemento,元素 (Yuánsù),An individual object in a set.,"apple is an element of the set {apple, banana, cherry}",https://en.wikipedia.org/wiki/Element_(mathematics)
01 Sets,set theory,Empty Set,Ensemble vide,Conjunto vacío,空集 (Kōng jí),A set with no elements.,{},https://en.wikipedia.org/wiki/Empty_set
03 Functions,set theory,Equivalence Relation,Relation d'équivalence,Relación de equivalencia,等价关系 (Děngjià guānxì),"A relation that is reflexive, symmetric, and transitive.","The relation ""is the same age as"" on a set of people",https://en.wikipedia.org/wiki/Equivalence_relation
01 Sets,set theory,Finite Set,Ensemble fini,Conjunto finito,有限集 (Yǒuxiàn jí),A set with a limited number of elements.,"{1, 2, 3, 4, 5}",https://en.wikipedia.org/wiki/Finite_set
01 Sets,set theory,Infinite Set,Ensemble infini,Conjunto infinito,无限集 (Wúxiàn jí),A set with an unlimited number of elements.,The set of all natural numbers,https://en.wikipedia.org/wiki/Infinite_set
02 Sets Operations,set theory,Intersection,Intersection,Intersección,交集 (Jiāojí),The set containing all elements that are in both of two sets.,"The intersection of {apple, banana} and {banana, cherry} is {banana}",https://en.wikipedia.org/wiki/Intersection
01 Sets,set theory,Power Set,Ensemble des parties,Conjunto potencia,幂集 (Mǐ jí),The set of all subsets of a set.,"The power set of {apple, banana} is {{}, {apple}, {banana}, {apple, banana}}",https://en.wikipedia.org/wiki/Power_set
01 Sets,set theory,Proper Subset,Sous-ensemble propre,Subconjunto propio,真子集 (Zhēn zǐ jí),A subset that is not equal to the original set.,"{apple, banana} is a proper subset of {apple, banana, cherry}",https://en.wikipedia.org/wiki/Subset
03 Functions,set theory,Reflexive,Réflexive,Reflexiva,自反 (Zì fǎn),A relation where every element is related to itself.,"{(1, 1), (2, 2)} is reflexive on the set {1, 2}",https://en.wikipedia.org/wiki/Reflexive_relation
01 Sets,set theory,Set,Ensemble,Conjunto,集合 (Jíhé),A collection of distinct objects.,"{apple, banana, cherry}",https://en.wikipedia.org/wiki/Set_(mathematics)
01 Sets,set theory,Subset,Sous-ensemble,Subconjunto,子集 (Zǐ jí),A set that contains only elements that are also in another set.,"{apple, banana} is a subset of {apple, banana, cherry}",https://en.wikipedia.org/wiki/Subset
03 Functions,set theory,Symmetric,Symétrique,Simétrica,对称 (Duìchèn),"A relation where if an element a is related to an element b, then b is related to a.","{(1, 2), (2, 1)} is symmetric",https://en.wikipedia.org/wiki/Symmetric_relation
03 Functions,set theory,Transitive,Transitive,Transitiva,传递 (Chuándì),"A relation where if an element a is related to an element b, and b is related to an element c, then a is related to c.","{(1, 2), (2, 3), (1, 3)} is transitive",https://en.wikipedia.org/wiki/Transitive_relation
01 Sets,set theory,Uncountably Infinite,Indénombrablement infini,Infinito no contable,不可数无限 (Bù kě shǔ wúxiàn),An infinite set that cannot be put into one-to-one correspondence with the set of natural numbers.,The set of all real numbers between 0 and 1,https://en.wikipedia.org/wiki/Uncountable_set
01 Sets,set theory,Union,Union,Unión,并集 (Bìngjí),The set containing all elements that are in either of two sets.,"The union of {apple, banana} and {banana, cherry} is {apple, banana, cherry}",https://en.wikipedia.org/wiki/Union_(set_theory)
